Pred_X,Pred_Y,True_X,True_Y,Adjusted_Pred_X,Adjusted_Pred_Y,Adjusted_Pred_X_GD,Adjusted_Pred_Y_GD,Deviation_X,Deviation_Y,Adjusted_Pred_X_new,Adjusted_Pred_Y_new,Adjusted_Pred_X_new2,Adjusted_Pred_Y_new2,Adjusted_Pred_X_new3,Adjusted_Pred_Y_new3,Adjusted_Pred_X_new4,Adjusted_Pred_Y_new4,Adjusted_Pred_X_new5,Adjusted_Pred_Y_new5,Adjusted_Pred_X_new6,Adjusted_Pred_Y_new6,Adjusted_Pred_X_final,Adjusted_Pred_Y_final,Adjusted_Pred_X_last,Adjusted_Pred_Y_last,Adjusted_Pred_X_another,Adjusted_Pred_Y_another,Adjusted_Pred_X_finaltry,Adjusted_Pred_Y_finaltry,Final_Adjusted_Pred_X,Final_Adjusted_Pred_Y,Final_Adjusted_Pred_X_new,Final_Adjusted_Pred_Y_new
2.7013192,1.8539537,2.6534183,1.8697042,20.69527799187689,14.357848612029187,2.7097219949455256,1.8567549815745887,0.047900900000000135,0.0157505,2.67736875,1.8539537,2.6629984799999997,1.8539537,2.68694893,1.8539537,2.7013192,1.8539537,2.7013192,1.8539537,2.7013192,1.8539537,3.4513112941138493,1.439520412942718,2.7013192,1.8539537,2.7013192,1.8539537,2.7013192,1.8539537,2.6486282099999996,1.87127925,2.1744092999999993,2.0272091999999997
2.6825619,1.8784546,2.65054,1.8805666,20.551575041897106,14.547594565802719,2.6909646949455257,1.8812558815745888,0.03202190000000016,0.002112000000000114,2.6825619,1.8784546,2.65694438,1.8784546,2.6825619,1.8784546,2.6825619,1.8784546,2.6825619,1.8784546,2.6825619,1.8784546,2.386739999960713,2.322631425802692,2.6825619,1.8784546,2.6825619,1.8784546,2.6825619,1.8784546,2.64733781,1.8807778000000002,2.3303209999999988,1.9016866000000012
2.6921568,1.8785685,2.6462245,1.8946407,20.625083245890274,14.548476658466042,2.7005595949455254,1.881369781574589,0.04593229999999959,0.01607219999999998,2.66919065,1.8785685,2.65541096,1.8785685,2.67837711,1.8785685,2.6921568,1.8785685,2.6921568,1.8785685,2.6921568,1.8785685,2.7578318646056466,2.674774092278528,2.6921568,1.8785685,2.6921568,1.8785685,2.6921568,1.8785685,2.6416312700000004,1.89624792,2.186901500000005,2.0553626999999994
2.6735744,1.9006985,2.6418633,1.9106855,20.482720235344814,14.719861299724455,2.6819771949455258,1.9034997815745889,0.031711100000000325,0.009986999999999968,2.6735744,1.9006985,2.64820552,1.9006985,2.6735744,1.9006985,2.6735744,1.9006985,2.6735744,1.9006985,2.6735744,1.9006985,2.512623218358003,2.0421345180527313,2.6735744,1.9006985,2.6735744,1.9006985,2.6735744,1.9006985,2.6386921899999995,1.9116842,2.3247522999999974,2.0105554999999997
2.6620421,1.9106487,2.6393275,1.923349,20.394369271717217,14.796920109369708,2.6704448949455255,1.913449981574589,0.02271460000000003,0.012700299999999887,2.6620421,1.9106487,2.64387042,1.9106487,2.6620421,1.9106487,2.6620421,1.9106487,2.6620421,1.9106487,2.6620421,1.9106487,2.0348060405459725,2.5689391030018434,2.6620421,1.9106487,2.6620421,1.9106487,2.6620421,1.9106487,2.6370560399999996,1.92461903,2.4121815,2.0503519999999984
2.6804843,1.9270657,2.6364105,1.9359571,20.535658185586335,14.92406071739227,2.6888870949455255,1.9298669815745888,0.04407379999999961,0.008891399999999994,2.6804843,1.9270657,2.64522526,1.9270657,2.66726216,1.9270657,2.6804843,1.9270657,2.6804843,1.9270657,2.6804843,1.9270657,2.24175171411537,1.269140171448674,2.6804843,1.9270657,2.6804843,1.9270657,2.6804843,1.9270657,2.6320031200000003,1.93684624,2.195672500000005,2.0248711
2.6592462,1.9241674,2.6344655,1.9488636,20.372949393704474,14.90161498283469,2.6676489949455258,1.9269686815745888,0.02478069999999999,0.024696199999999946,2.6592462,1.9241674,2.63942164,1.94392436,2.6592462,1.9241674,2.6592462,1.9241674,2.6592462,1.9241674,2.6592462,1.9241674,2.4422981115645275,1.8981365449746614,2.6592462,1.9241674,2.6592462,1.9241674,2.6592462,1.9241674,2.63198743,1.95133322,2.3866585000000007,2.1958255999999987
2.6521654,1.9442489,2.6325266,1.9597578,20.318702148726953,15.057135121715433,2.6605681949455255,1.9470501815745889,0.019638800000000067,0.015508899999999937,2.6521654,1.9442489,2.6521654,1.9442489,2.6521654,1.9442489,2.6521654,1.9442489,2.6521654,1.9442489,2.6521654,1.9442489,2.333195911359309,2.4265287789857055,2.6521654,1.9442489,2.6521654,1.9442489,2.6521654,1.9442489,2.63056272,1.96130869,2.4361385999999996,2.114846799999999
2.6571102,1.960377,2.6307395,1.974505,20.356585124798137,15.182038358619174,2.6655129949455256,1.9631782815745888,0.02637070000000019,0.014127999999999918,2.6571102,1.960377,2.63601364,1.960377,2.6571102,1.960377,2.6571102,1.960377,2.6571102,1.960377,2.6571102,1.960377,2.288531772207498,2.6367708971617745,2.6571102,1.960377,2.6571102,1.960377,2.6571102,1.960377,2.6281024299999998,1.9759178,2.3670324999999983,2.115784999999999
2.6695142,1.963109,2.6291435,1.9872892,20.451614334308527,15.203196191421613,2.6779169949455257,1.9659102815745888,0.04037069999999998,0.024180199999999985,2.6695142,1.963109,2.6372176400000003,1.98245316,2.65740299,1.963109,2.6695142,1.963109,2.6695142,1.963109,2.6695142,1.963109,1.917511544798977,1.9460873570841302,2.6695142,1.963109,2.6695142,1.963109,2.6695142,1.963109,2.62510643,1.9897072199999999,2.225436500000001,2.229091199999999
